algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,671,119,31,82,88,470,0.2605042016806723,0.8514492753623188,0.2743362831858407,0.2672413793103448,0.5559767385214955,,,A_infodengue,95,12,persistencia
lightgbm,288,73,4,7,69,208,0.0547945205479452,0.9674418604651163,0.36363636363636365,0.09523809523809523,0.5111181905065307,0.8539980885632366,0.5868616107597739,B_tabela_final,90,4,sazonal
lightgbm,288,73,55,13,18,202,0.7534246575342466,0.9395348837209302,0.8088235294117647,0.7801418439716312,0.8464797706275884,0.9466071997451418,0.8502769681766029,B_tabela_final,90,4,so-clima
lightgbm,288,73,57,17,16,198,0.7808219178082192,0.9209302325581395,0.7702702702702703,0.7755102040816326,0.8508760751831794,0.9459700541573749,0.8519660084456782,B_tabela_final,90,4,clima+vetor
lightgbm,283,77,10,5,67,201,0.12987012987012986,0.9757281553398058,0.6666666666666666,0.21739130434782608,0.5527991426049679,0.8670407262640273,0.6687418123460138,B_tabela_final,90,8,sazonal
lightgbm,283,77,34,12,43,194,0.44155844155844154,0.941747572815534,0.7391304347826086,0.5528455284552846,0.6916530071869877,0.8812886142983231,0.7178310956682351,B_tabela_final,90,8,so-clima
lightgbm,283,77,37,12,40,194,0.4805194805194805,0.941747572815534,0.7551020408163265,0.5873015873015873,0.7111335266675073,0.9209431345353676,0.7817721737319474,B_tabela_final,90,8,clima+vetor
lightgbm,278,77,14,7,63,194,0.18181818181818182,0.9651741293532339,0.6666666666666666,0.2857142857142857,0.5734961555857079,0.8612780254571301,0.6847037954956999,B_tabela_final,90,12,sazonal
lightgbm,278,77,19,4,58,197,0.24675324675324675,0.9800995024875622,0.8260869565217391,0.38,0.6134263746204045,0.9103185371842089,0.7510885120801227,B_tabela_final,90,12,so-clima
lightgbm,278,77,28,7,49,194,0.36363636363636365,0.9651741293532339,0.8,0.5,0.6644052464947987,0.9171027976998126,0.7853248537174176,B_tabela_final,90,12,clima+vetor
lightgbm,288,50,0,4,50,234,0.0,0.9831932773109243,0.0,0.0,0.49159663865546216,0.8214705882352942,0.4475787052402864,B_tabela_final,95,4,sazonal
lightgbm,288,50,30,9,20,229,0.6,0.9621848739495799,0.7692307692307693,0.6741573033707865,0.7810924369747899,0.9141176470588236,0.7739778141050268,B_tabela_final,95,4,so-clima
lightgbm,288,50,27,11,23,227,0.54,0.9537815126050421,0.7105263157894737,0.6136363636363636,0.7468907563025211,0.9361344537815126,0.7446068151594306,B_tabela_final,95,4,clima+vetor
lightgbm,282,51,1,3,50,228,0.0196078431372549,0.987012987012987,0.25,0.03636363636363636,0.503310415075121,0.8574823868941516,0.550505603776583,B_tabela_final,95,8,sazonal
lightgbm,282,51,17,7,34,224,0.3333333333333333,0.9696969696969697,0.7083333333333334,0.4533333333333333,0.6515151515151515,0.9219930396400985,0.6919404236122826,B_tabela_final,95,8,so-clima
lightgbm,282,51,24,7,27,224,0.47058823529411764,0.9696969696969697,0.7741935483870968,0.5853658536585366,0.7201426024955437,0.9209744503862151,0.7347077858562717,B_tabela_final,95,8,clima+vetor
lightgbm,279,53,1,4,52,222,0.018867924528301886,0.9823008849557522,0.2,0.034482758620689655,0.500584404742027,0.8565703790282184,0.5785331361241742,B_tabela_final,95,12,sazonal
