algoritmo,perda,conjunto,h,periodo,n,MAE,R2,vies_pico
hist_gradient_boosting,padrao,M0_sem_vetor,1,calibracao,198,25.384986010058753,0.803434725725674,-46.524199757929516
hist_gradient_boosting,padrao,M0_sem_vetor,4,avaliacao,109,182.9589160198021,0.7107844707931892,-222.23639948606848
hist_gradient_boosting,padrao,M0_sem_vetor,4,calibracao,195,31.56143874325605,0.7319871326251193,-128.12887899595597
hist_gradient_boosting,padrao,M0_sem_vetor,8,avaliacao,109,204.6190310130666,0.6362932496956866,-441.6170820053988
hist_gradient_boosting,padrao,M0_sem_vetor,8,calibracao,191,42.164684432706785,0.45872336807133385,-245.2720709930031
hist_gradient_boosting,padrao,M0_sem_vetor,12,avaliacao,109,192.80110179504123,0.6745706914746266,-494.30786575010393
hist_gradient_boosting,padrao,M0_sem_vetor,12,calibracao,187,54.994730384302294,0.1869482225789696,-324.18262679358855
hist_gradient_boosting,padrao,M1_com_vetor,1,avaliacao,102,113.01363260483768,0.8496621237799402,-222.25620532622037
hist_gradient_boosting,padrao,M1_com_vetor,1,calibracao,193,25.408223696868934,0.8280021490610707,-24.995569852818495
hist_gradient_boosting,padrao,M1_com_vetor,4,avaliacao,102,170.49489957515573,0.7288784361042051,-367.54153834948255
hist_gradient_boosting,padrao,M1_com_vetor,4,calibracao,190,38.18136942410795,0.6429362645379242,-124.40261401692402
hist_gradient_boosting,padrao,M1_com_vetor,8,avaliacao,102,183.13486013687196,0.7386988216724679,-397.4550795558709
hist_gradient_boosting,padrao,M1_com_vetor,8,calibracao,186,41.706255320543384,0.5360007502084986,-180.78826841258171
hist_gradient_boosting,padrao,M1_com_vetor,12,avaliacao,102,203.40751211258555,0.6704577549039734,-460.43078954632523
hist_gradient_boosting,padrao,M1_com_vetor,12,calibracao,182,54.204415130495256,0.29508966469922315,-315.7732900977974
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,1,avaliacao,109,118.60115349195533,0.8588337127986734,-81.35279660868676
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,1,calibracao,198,25.33066151254666,0.7875552657914587,-36.938351859491426
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,4,avaliacao,109,187.3277975917468,0.7378502564126036,-189.45476465722066
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,4,calibracao,195,37.66926824418868,0.6582433659319513,-88.80504509127745
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,8,avaliacao,109,181.110893389164,0.7148374175366045,-416.86390697957876
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,8,calibracao,191,41.3235314737435,0.5226508313833389,-202.25030233967718
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,12,avaliacao,109,184.75208234113776,0.7137743855996199,-469.0527306855856
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,12,calibracao,187,47.91195107094348,0.3629202622586236,-267.84322775551647
hist_gradient_boosting,quantil_0.70,M1_com_vetor,1,avaliacao,102,103.48693457921073,0.8837327624318438,-187.27847559466903
hist_gradient_boosting,quantil_0.70,M1_com_vetor,1,calibracao,193,26.19362634537984,0.7922354511321478,-23.10404045597173
hist_gradient_boosting,quantil_0.70,M1_com_vetor,4,avaliacao,102,179.274500496693,0.7478595730330371,-265.72869893085584
hist_gradient_boosting,quantil_0.70,M1_com_vetor,4,calibracao,190,31.809666052737338,0.7578733106513511,-100.16133708372605
hist_gradient_boosting,quantil_0.70,M1_com_vetor,8,avaliacao,102,188.10701207864994,0.7135119402910467,-423.7117879500554
