ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
993665;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.082;-51.239;2;0;0;;;;12
993666;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.071;-51.232;0;0;0;;;;12
993667;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.067;-51.224;2;0;0;;;;12
993668;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.069;-51.225;0;0;0;;;;12
993669;NONOAI;2020;1;2019-12-29;2020-01-04;-30.084;-51.220;0;0;0;;;;12
993670;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.080;-51.242;0;0;0;;;;12
993671;NONOAI;2020;1;2019-12-29;2020-01-04;-30.084;-51.218;0;0;0;;;;12
993672;NONOAI;2020;1;2019-12-29;2020-01-04;-30.083;-51.223;0;0;0;;;;12
993673;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.067;-51.226;0;0;0;;;;12
993674;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.071;-51.225;0;0;0;;;;12
993675;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.073;-51.225;0;0;0;;;;12
993676;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.071;-51.227;0;0;0;;;;12
993677;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.072;-51.230;0;0;0;;;;12
993678;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.074;-51.218;0;0;0;;;;12
993679;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.075;-51.229;0;0;0;;;;12
993680;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.074;-51.227;0;0;0;;;;12
993681;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.065;-51.231;0;0;0;;;;12
993682;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.077;-51.229;0;0;0;;;;12
993683;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.066;-51.221;0;0;0;;;;12
993684;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.065;-51.218;0;0;0;;;;12
993685;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.066;-51.227;0;0;0;;;;12
993686;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.070;-51.216;0;0;0;;;;12
993687;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.067;-51.229;2;0;0;;;;12
993688;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.068;-51.222;0;0;0;;;;12
993689;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.069;-51.227;0;0;0;;;;12
993690;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.080;-51.220;0;0;0;;;;12
993691;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.078;-51.218;0;0;0;;;;12
993692;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.077;-51.220;0;0;0;;;;12
993693;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.076;-51.222;0;0;0;;;;12
993694;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.077;-51.223;0;0;0;;;;12
