algoritmo,perda,conjunto,h,periodo,n,MAE_org,R2_org,vies_org,cap_org,n_n,MAE_novo,R2_novo,vies_novo,cap_novo,MAE_var_%,R2_var,cap_var_pp
hist_gradient_boosting,padrao,M1_com_vetor,8,calibracao,186.0,41.706255320543384,0.5360007502084986,-180.78826841258171,0.59256227257599,186.0,49.848838109685644,0.28826424375627413,-299.4153775514435,0.32521550177714886,19.523648734609456,-0.24773650645222445,-26.73467707988412
hist_gradient_boosting,padrao,M1_com_vetor,12,avaliacao,102.0,203.40751211258555,0.6704577549039734,-460.43078954632523,0.5816995715545406,102.0,292.84275810740894,0.35646028295843357,-708.983663964894,0.3558897946647676,43.968506898270896,-0.31399747194553984,-22.580977688977296
hist_gradient_boosting,padrao,M1_com_vetor,12,calibracao,182.0,54.204415130495256,0.29508966469922315,-315.7732900977974,0.28835010795592386,182.0,56.97466638513344,0.16759984723253696,-363.75567547228013,0.1802134781567653,5.1107483550350885,-0.1274898174666862,-10.813662979915856
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,1,avaliacao,109.0,116.08207907602252,0.8727597486993036,-52.483401296150404,0.9523189375104857,109.0,116.08207907602252,0.8727597486993036,-52.483401296150404,0.9523189375104857,0.0,0.0,0.0
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,1,calibracao,198.0,24.785818062007166,0.795846639684707,-8.482112927705526,0.9808840869744309,198.0,24.785818062007166,0.795846639684707,-8.482112927705526,0.9808840869744309,0.0,0.0,0.0
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,4,avaliacao,109.0,188.62276318569684,0.7210658291260503,-136.1755779622496,0.8762847665736179,109.0,231.5870014415634,0.5966813699252016,-307.90802270246485,0.720266192569043,22.77786494600802,-0.12438445920084873,-15.601857400457487
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,4,calibracao,195.0,34.200145008243624,0.7279161994099648,-86.1357009343464,0.8058782544524781,195.0,41.964575588244905,0.5125725741423626,-186.19163618886702,0.5803848458738234,22.70291713128625,-0.2153436252676022,-22.549340857865463
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,8,avaliacao,109.0,175.52974753082475,0.7468399414646812,-361.7994166706905,0.6713059716232546,109.0,228.90622309349263,0.5471685286953472,-576.6357701089461,0.47612758492711293,30.408791850677307,-0.1996714127693341,-19.517838669614164
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,8,calibracao,191.0,45.31262612367474,0.46202477651920837,-183.84753640020125,0.5856676814202622,191.0,50.54741565309923,0.31336171423730264,-290.89771202875215,0.34441153874345953,11.552606805742904,-0.14866306228190573,-24.125614267680263
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,12,avaliacao,109.0,202.27732895907673,0.6809437992405101,-469.5375902824971,0.5734260617541608,109.0,282.1446323851224,0.34335637676737263,-727.4900310333504,0.3390767981200927,39.48406073831627,-0.33758742247313744,-23.434926363406806
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,12,calibracao,187.0,48.460754222446994,0.38435974118733207,-243.17206303713166,0.45196956856321174,187.0,52.76515889280959,0.22733290878570034,-318.60814623096735,0.281961267846914,8.882248614217382,-0.15702683240163173,-17.000830071629775
hist_gradient_boosting,quantil_0.80,M1_com_vetor,1,avaliacao,102.0,101.2661968809794,0.8830479899684321,-181.05771475614085,0.849908116880045,102.0,101.2661968809794,0.8830479899684321,-181.05771475614085,0.849908116880045,0.0,0.0,0.0
hist_gradient_boosting,quantil_0.80,M1_com_vetor,1,calibracao,193.0,23.59858191510937,0.8101474709993597,-3.700459899973323,0.9916603716308181,193.0,23.59858191510937,0.8101474709993597,-3.700459899973323,0.9916603716308181,0.0,0.0,0.0
