data_ini_se,SE,ano,semana_epi,casos,casos_est,casconf,p_inc100k,nivel,Rt,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,receptivo,transmissao,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,aegypti_por_armadilha,imfa_femea,sem_sin,sem_cos,bloco
2020-05-03,202019,2020,19,2,2.0,,0.13438584,1,0.5748828,9.28571428571429,16.3609022857143,22.1428571428571,47.7108661428571,72.2836062857143,95.51004,0,0,marilia,985.0,318.0,,0.32284263959390863,,0.7485107481711013,-0.6631226582407951,1
2020-05-10,202020,2020,20,2,2.0,,0.13438584,1,0.813648,11.1428571428571,17.427204,22.8571428571429,53.7474025714286,75.927758,96.3362948571429,0,0,marilia,959.0,191.0,,0.1991657977059437,,0.6631226582407952,-0.7485107481711012,1
2020-05-17,202021,2020,21,4,4.0,,0.26877168,1,1.8426063,12.0,18.7840055714286,25.0,50.9278695714286,76.8021314285714,97.3387071428571,0,0,marilia,949.0,154.0,,0.16227608008429925,,0.5680647467311558,-0.8229838658936564,1
2020-05-24,202022,2020,22,0,0.0,,0.0,1,0.0,9.71428571428571,15.2255635714286,21.1428571428571,49.4373352857143,73.5170467142857,91.4087334285714,0,0,marilia,942.0,87.0,,0.09235668789808917,,0.46472317204376906,-0.8854560256532096,1
2020-05-31,202023,2020,23,1,1.0,,0.06719292,1,0.44425538,10.7142857142857,14.9624061428571,18.5714285714286,62.609407,79.8822877142857,96.3729271428571,0,0,marilia,943.0,93.0,,0.09862142099681867,,0.35460488704253584,-0.9350162426854147,1
2020-06-07,202024,2020,24,3,3.0,,0.20157877,1,2.0148504,13.7142857142857,17.269925,21.0,70.3201125714286,84.6662191428571,97.3785857142857,0,0,marilia,941.0,39.0,,0.04144527098831031,,0.23931566428755768,-0.970941817426052,1
2020-06-14,202025,2020,25,4,4.0,,0.26877168,1,2.5544145,10.5714285714286,16.9745195714286,23.2857142857143,56.8745507142857,78.9038715714286,96.4002862857143,0,0,marilia,939.0,50.0,,0.05324813631522897,,0.12053668025532308,-0.992708874098054,1
2020-06-21,202026,2020,26,1,1.0,,0.06719292,1,0.40344226,12.1428571428571,17.5130532857143,22.8571428571429,53.281648,77.6633442857143,96.5182334285714,0,0,marilia,884.0,107.0,,0.12104072398190045,,-3.216245299353273e-16,-1.0,1
2020-06-28,202027,2020,27,0,0.0,,0.0,1,0.0,7.0,11.1660068571429,15.1428571428571,64.5874005714286,82.1854892857143,96.3667528571429,0,0,marilia,877.0,30.0,,0.03420752565564424,,-0.12053668025532283,-0.992708874098054,1
2020-07-05,202028,2020,28,1,1.0,,0.06719292,1,0.6300297,10.0,12.8451564285714,15.2857142857143,71.8360568571429,85.4923105714286,95.5233371428571,0,0,marilia,840.0,7.0,,0.008333333333333333,,-0.23931566428755743,-0.9709418174260521,1
2020-07-12,202029,2020,29,2,2.0,,0.13438584,1,2.4351144,7.14285714285714,12.556676,17.1428571428571,60.190043,80.3443864285714,98.1147657142857,0,0,marilia,782.0,7.0,,0.008951406649616368,,-0.3546048870425356,-0.9350162426854148,1
2020-07-19,202030,2020,30,0,0.0,,0.0,1,0.0,12.0,20.0438257142857,27.5714285714286,40.8833768571429,72.1353121428571,98.192292,0,0,marilia,780.0,11.0,,0.014102564102564103,,-0.46472317204376806,-0.8854560256532101,1
2020-07-26,202031,2020,31,2,2.0,,0.13438584,1,1.734893,6.28571428571429,12.4578234285714,18.5714285714286,55.1905541428571,77.6204735714286,98.08576,0,0,marilia,826.0,10.0,,0.012106537530266344,,-0.5680647467311556,-0.8229838658936565,1
2020-08-02,202032,2020,32,2,2.0,,0.13438584,1,1.7699184,10.7142857142857,18.0802985714286,25.4285714285714,47.614413,76.4244675714286,98.1720291428571,0,0,marilia,821.0,11.0,,0.013398294762484775,,-0.663122658240795,-0.7485107481711013,1
2020-08-09,202033,2020,33,1,1.0,,0.06719292,1,0.690497,11.7142857142857,16.2436977142857,21.7142857142857,62.5767275714286,79.8290577142857,96.6145514285714,0,0,marilia,864.0,14.0,,0.016203703703703703,,-0.7485107481711011,-0.6631226582407952,1
2020-08-16,202034,2020,34,0,0.0,,0.0,1,0.0,7.14285714285714,12.9430437142857,18.0,47.6190215714286,71.1480742857143,94.4594542857143,0,0,marilia,862.0,15.0,,0.01740139211136891,,-0.8229838658936564,-0.5680647467311559,1
2020-08-23,202035,2020,35,0,0.0,,0.0,1,0.0,10.5714285714286,18.6992974285714,26.0,43.37756,72.8424362857143,98.23966,0,0,marilia,826.0,7.0,,0.00847457627118644,,-0.8854560256532096,-0.4647231720437691,1
