data_inicio_semana_epidemi,precip_total_mm,precip_max_dia_mm,precip_media_dia_mm,dias_de_chuva,temp_media,temp_min,temp_max,temp_amplitude_media,orvalho_min,orvalho_media,orvalho_max,umid_min,umid_media,umid_max,pressao_min,pressao_media,pressao_max,radiacao_min,radiacao_media,radiacao_max,vento_media,vento_max
2017-04-30,3.93,1.57,0.5614285714285715,2,17.88,8.24,25.5,10.457142857142854,11.8,15.912857142857144,18.5,82.57,87.94857142857143,92.36,101.12,101.44999999999997,101.89,9.86,13.001428571428573,17.69,2.5342857142857147,3.55
2017-05-07,39.69,20.15,5.67,2,17.894285714285715,10.69,26.11,8.298571428571426,11.77,15.629999999999999,18.2,81.56,87.13142857142859,94.12,100.43,101.11285714285714,101.71,1.79,9.397142857142857,15.25,3.3085714285714287,3.83
2017-05-14,13.08,5.96,1.8685714285714285,3,17.454285714285714,11.2,24.96,8.097142857142854,13.69,15.602857142857143,17.21,83.79,88.43571428571428,90.03,100.53,100.97142857142856,101.44,8.37,10.681428571428572,12.88,4.002857142857144,6.55
2017-05-21,129.35,68.14,18.478571428571428,6,17.82,8.92,25.95,7.329999999999998,11.93,16.36857142857143,20.61,85.26,91.21714285714286,94.77,100.85,101.28571428571429,101.79,1.5,6.851428571428571,13.74,3.0885714285714285,4.38
2017-05-28,74.15000000000002,41.78,10.592857142857145,5,16.237142857142853,8.63,21.15,6.355714285714285,12.54,14.668571428571425,17.05,84.12,90.6842857142857,95.39,100.97,101.38857142857144,101.68,3.12,7.11,12.6,3.367142857142857,4.62
2017-06-04,60.92,22.54,8.702857142857143,6,14.781428571428572,8.02,19.72,5.264285714285718,8.29,13.348571428571429,15.54,80.67,91.33428571428571,95.55,100.09,100.92142857142858,101.3,2.96,5.808571428571428,12.77,4.468571428571428,6.45
2017-06-11,0.6200000000000001,0.22,0.08857142857142859,0,14.978571428571428,6.98,25.38,11.350000000000001,9.25,13.117142857142856,16.66,80.54,87.71000000000001,92.5,100.67,101.38285714285713,101.9,6.41,10.161428571428571,13.14,2.711428571428572,4.23
2017-06-18,9.519999999999998,8.43,1.3599999999999997,2,13.797142857142859,3.66,24.61,11.18857142857143,4.96,11.757142857142858,16.1,81.8,87.29714285714284,90.79,100.82,101.72142857142858,102.31,3.54,10.055714285714286,12.44,3.2100000000000004,4.91
2017-06-25,7.0600000000000005,6.08,1.0085714285714287,1,16.12857142857143,8.3,24.17,10.024285714285714,9.42,14.025714285714285,16.15,86.42,87.58714285714287,89.43,101.34,101.65857142857145,102.32,7.52,10.855714285714287,12.64,3.095714285714286,3.89
2017-07-02,0.10999999999999999,0.03,0.015714285714285712,0,14.222857142857142,6.2,23.39,11.487142857142855,8.45,11.930000000000001,14.51,84.93,86.26714285714287,87.29,101.87,102.25428571428571,102.71,10.98,12.421428571428573,13.15,2.951428571428572,3.49
