h,data,real,pred,variante
4,2023-08-27,0.0,0.0,atual
4,2023-09-10,5.0,7.527177167150281,atual
4,2023-09-24,3.0,3.8629752832988875,atual
4,2023-10-08,6.0,0.0,atual
4,2023-10-22,3.0,0.9515820381323215,atual
4,2023-11-05,7.0,7.05627091880632,atual
4,2023-11-19,3.0,0.0,atual
4,2023-12-03,9.0,5.068112439711851,atual
4,2023-12-17,12.0,11.735812125177192,atual
4,2023-12-31,39.0,31.131943063150842,atual
4,2024-01-14,156.0,83.27346301831997,atual
4,2024-01-28,558.0,146.08261449553646,atual
4,2024-02-11,1227.0,486.19801660809594,atual
4,2024-02-25,1109.0,804.6786189647615,atual
4,2024-03-10,1849.0,803.0649048487388,atual
4,2024-03-24,1855.0,448.2393180675383,atual
4,2024-04-07,911.0,864.816289964539,atual
4,2024-04-21,646.0,749.1389208548779,atual
4,2024-05-05,199.0,308.99278678950526,atual
4,2024-05-19,277.0,393.6391216648514,atual
4,2024-06-02,89.0,173.9038672204171,atual
4,2024-06-16,10.0,0.0,atual
4,2024-06-30,22.0,57.73366091511374,atual
4,2024-07-14,16.0,0.0,atual
4,2024-07-28,14.0,0.0,atual
4,2024-08-11,7.0,9.795932637734966,atual
4,2024-08-25,7.0,6.135212322245504,atual
4,2024-09-08,6.0,10.388740497851884,atual
4,2024-09-22,3.0,10.83394699317031,atual
4,2024-10-06,1.0,8.113009821571039,atual
4,2024-10-20,0.0,0.0,atual
4,2024-11-03,4.0,3.646034203356101,atual
4,2024-11-17,1.0,0.29601643215882034,atual
4,2024-12-01,19.0,3.94904397653783,atual
4,2024-12-15,32.0,0.0,atual
4,2024-12-29,47.0,52.14737010188009,atual
4,2025-01-12,161.0,110.42261354062961,atual
4,2025-01-26,383.0,598.9010818601396,atual
4,2025-02-09,917.0,982.1976964805355,atual
4,2025-02-23,1801.0,1056.8339541944513,atual
4,2025-03-09,2184.0,1251.0640620740694,atual
4,2025-03-23,2229.0,1597.268310442283,atual
4,2025-04-06,2159.0,563.752330693167,atual
4,2025-04-20,1988.0,1106.839549890189,atual
4,2025-05-04,579.0,986.6592301103776,atual
4,2025-05-18,105.0,937.3369730408203,atual
4,2025-06-01,22.0,0.0,atual
4,2025-06-15,7.0,0.0,atual
4,2025-06-29,5.0,0.0,atual
4,2025-07-13,11.0,2.6256100879962947,atual
4,2025-07-27,4.0,0.0,atual
4,2025-08-10,6.0,7.374291284353014,atual
4,2025-08-24,9.0,8.367860636644895,atual
4,2025-09-07,7.0,14.273179491037283,atual
4,2025-09-21,4.0,4.250304336987666,atual
4,2025-10-05,4.0,8.896959336424565,atual
4,2025-10-19,5.0,0.0,atual
4,2025-11-02,3.0,5.710920524856755,atual
4,2025-11-16,1.0,0.0,atual
4,2025-11-30,0.0,22.377100568896136,atual
4,2025-12-14,1.0,0.0,atual
4,2025-12-28,1.0,1.1907181070724466,atual
8,2020-03-15,0.0,16.20656943861783,atual
8,2020-03-29,0.0,1.4007880798266101,atual
8,2020-04-12,0.0,19.88069762272852,atual
8,2020-04-26,0.0,5.563909650727592,atual
8,2020-05-10,0.0,0.0,atual
8,2020-05-24,0.0,0.0,atual
8,2020-06-07,0.0,0.0,atual
8,2020-06-21,0.0,2.30728107316199,atual
8,2020-07-05,0.0,0.7298911294179979,atual
8,2020-07-19,0.0,1.834428921598823,atual
8,2020-08-02,0.0,0.11586598697097925,atual
8,2020-08-16,0.0,0.0,atual
8,2020-08-30,0.0,0.0,atual
8,2020-09-13,0.0,0.05010341808544611,atual
