h,real,pred,conjunto
4,0.0,-0.00011457834447966601,M0_clima6
4,0.0,0.02579453755149271,M0_clima6
4,1.0,0.40463648714925526,M0_clima6
4,0.0,0.450532252913797,M0_clima6
4,1.0,1.7627671415883448,M0_clima6
4,2.0,1.2590792951515766,M0_clima6
4,1.0,1.7621404911803376,M0_clima6
4,9.0,1.0821309257674359,M0_clima6
4,51.0,7.918457678222251,M0_clima6
4,269.0,157.85771909800218,M0_clima6
4,482.0,69.66342505593246,M0_clima6
4,753.0,269.34595653646875,M0_clima6
4,569.0,548.909496660401,M0_clima6
4,223.0,489.1204995412762,M0_clima6
4,122.0,295.2609393861629,M0_clima6
4,61.0,182.5081791946285,M0_clima6
4,26.0,49.11209741870361,M0_clima6
4,14.0,12.6982470284817,M0_clima6
4,13.0,9.514129016015186,M0_clima6
4,11.0,1.3944552140308393,M0_clima6
4,3.0,4.523564445661696,M0_clima6
4,1.0,9.029123828616008,M0_clima6
4,0.0,0.7546320517674314,M0_clima6
4,0.0,0.765155376953959,M0_clima6
4,0.0,-0.033855906466859834,M0_clima6
4,0.0,0.153810107699925,M0_clima6
4,6.0,0.279335517246186,M0_clima6
4,7.0,1.2323908025783648,M0_clima6
4,10.0,2.995925028612285,M0_clima6
4,0.0,8.653167761021143,M0_clima6
4,0.0,1.9414220624238254,M0_clima6
4,2.0,9.073105445979182,M0_clima6
4,2.0,30.366464853886146,M0_clima6
4,10.0,3.332221380026558,M0_clima6
4,27.0,-3.3479728174843855,M0_clima6
4,93.0,269.8925309235087,M0_clima6
4,250.0,310.4559682122263,M0_clima6
4,541.0,342.2333112880759,M0_clima6
4,581.0,673.7712520519491,M0_clima6
4,762.0,475.36857150688814,M0_clima6
4,473.0,237.06235279559937,M0_clima6
4,225.0,159.8785426778354,M0_clima6
4,66.0,206.1073616294539,M0_clima6
4,74.0,92.84578255725376,M0_clima6
4,32.0,15.272627439842651,M0_clima6
4,15.0,19.632580004873756,M0_clima6
4,13.0,19.18398964666657,M0_clima6
4,9.0,8.924247038443523,M0_clima6
4,9.0,2.277225069232124,M0_clima6
4,0.0,1.1556327101017867,M0_clima6
4,5.0,1.170069445073465,M0_clima6
4,3.0,1.6228405915522026,M0_clima6
4,6.0,4.150440837448731,M0_clima6
4,3.0,2.630729570110694,M0_clima6
4,7.0,1.9133336778741348,M0_clima6
4,3.0,2.1081730381747725,M0_clima6
