h,data,real,pred,maximo_visto_no_treino,variante
1,2020-07-05,0.0,-0.057324556013168715,64.0,log1p
1,2020-07-19,0.0,-0.01045624943978862,64.0,log1p
1,2020-08-02,0.0,0.038472328637318476,64.0,log1p
1,2020-08-16,0.0,-0.08479271140707197,64.0,log1p
1,2020-08-30,0.0,-0.020382955377326723,64.0,log1p
1,2020-09-13,0.0,0.12493118379283956,64.0,log1p
1,2020-09-27,0.0,-0.08957049291785042,64.0,log1p
1,2020-10-11,0.0,-0.06642583643223099,64.0,log1p
1,2020-10-25,0.0,-0.018092195779724065,64.0,log1p
1,2020-11-08,0.0,-0.0357863339202582,64.0,log1p
1,2020-11-22,0.0,0.22009343996665534,64.0,log1p
1,2020-12-06,0.0,0.16592269171800558,64.0,log1p
1,2020-12-20,0.0,0.5322074288905773,64.0,log1p
1,2021-01-03,0.0,1.5686850375691357,64.0,log1p
1,2021-01-17,0.0,0.2408344747864563,64.0,log1p
1,2021-01-31,0.0,0.15244510302266653,64.0,log1p
1,2021-02-14,2.0,-0.06660343404775401,64.0,log1p
1,2021-02-28,1.0,0.22464636929537513,64.0,log1p
1,2021-03-14,1.0,1.3618869946914365,64.0,log1p
1,2021-03-28,9.0,0.3975384903986511,64.0,log1p
1,2021-04-11,12.0,9.756575917610263,64.0,log1p
1,2021-04-25,7.0,6.721879547989743,64.0,log1p
1,2021-05-09,5.0,7.897844285743495,64.0,log1p
1,2021-05-23,1.0,-0.23396759029467198,64.0,log1p
1,2021-06-06,0.0,0.014275616287696908,64.0,log1p
1,2021-06-20,0.0,-0.057539697555681876,64.0,log1p
1,2021-07-04,0.0,-0.07948528189546097,64.0,log1p
1,2021-07-18,0.0,-0.012312773748159707,64.0,log1p
1,2021-08-01,0.0,0.08954226780460058,64.0,log1p
1,2021-08-15,0.0,0.03619065873502225,64.0,log1p
1,2021-08-29,0.0,-0.03114119068559049,64.0,log1p
1,2021-09-12,0.0,-0.00737202899157144,64.0,log1p
1,2021-09-26,0.0,0.008399480708368755,64.0,log1p
1,2021-10-10,0.0,0.007849245269680739,64.0,log1p
1,2021-10-24,0.0,0.1541012034145003,64.0,log1p
1,2021-11-07,0.0,0.26102111291194907,64.0,log1p
1,2021-11-21,0.0,0.040985470057224915,64.0,log1p
1,2021-12-05,0.0,0.05453648293233483,64.0,log1p
1,2021-12-19,0.0,0.27614926043289134,64.0,log1p
1,2022-01-02,0.0,0.027920605594883748,64.0,log1p
1,2022-01-16,0.0,0.898947431386729,64.0,log1p
1,2022-01-30,2.0,-0.10810725423681707,64.0,log1p
1,2022-02-13,20.0,12.17968769349301,64.0,log1p
1,2022-02-27,203.0,35.70935609716051,64.0,log1p
1,2022-03-13,463.0,127.6685579859147,269.0,log1p
1,2022-03-27,524.0,182.55304949168647,482.0,log1p
1,2022-04-10,879.0,271.2028005645987,753.0,log1p
1,2022-04-24,344.0,501.93055744278666,879.0,log1p
1,2022-05-08,313.0,251.5750217942118,879.0,log1p
1,2022-05-22,92.0,50.59907407629569,879.0,log1p
1,2022-06-05,17.0,39.53227302258683,879.0,log1p
1,2022-06-19,19.0,15.589262377290137,879.0,log1p
1,2022-07-03,24.0,6.991292410257052,879.0,log1p
1,2022-07-17,11.0,12.481443273682144,879.0,log1p
1,2022-07-31,3.0,8.55349213666589,879.0,log1p
1,2022-08-14,3.0,0.27646420159236385,879.0,log1p
1,2022-08-28,2.0,0.4630747437016749,879.0,log1p
1,2022-09-11,3.0,0.8831327627130676,879.0,log1p
1,2022-09-25,1.0,0.538170003022021,879.0,log1p
1,2022-10-09,1.0,0.7063874322001804,879.0,log1p
1,2022-10-23,0.0,0.7635165537924352,879.0,log1p
1,2022-11-06,11.0,0.5275898908594876,879.0,log1p
1,2022-11-20,9.0,11.989621151837083,879.0,log1p
1,2022-12-04,4.0,7.453201635306883,879.0,log1p
1,2022-12-18,1.0,1.6492809440460863,879.0,log1p
1,2023-01-01,3.0,1.1830245627581089,879.0,log1p
1,2023-01-15,0.0,1.217121963099878,879.0,log1p
1,2023-01-29,0.0,1.6911921279050013,879.0,log1p
1,2023-02-12,7.0,15.864411119467928,879.0,log1p
1,2023-02-26,37.0,51.16853473707913,879.0,log1p
1,2023-03-12,199.0,166.77562369126886,879.0,log1p
1,2023-03-26,360.0,411.04971906483405,879.0,log1p
1,2023-04-09,589.0,626.7379368875461,879.0,log1p
1,2023-04-23,760.0,549.2940148686577,879.0,log1p
1,2023-05-07,540.0,601.2124125190101,879.0,log1p
1,2023-05-21,450.0,367.71917322313845,879.0,log1p
1,2023-06-04,219.0,217.61211539596164,879.0,log1p
1,2023-06-18,76.0,53.143700219282884,879.0,log1p
1,2023-07-02,52.0,38.01323319236819,879.0,log1p
1,2023-07-16,25.0,30.253167528695275,879.0,log1p
1,2023-07-30,18.0,16.448831962699714,879.0,log1p
1,2023-08-13,9.0,11.71797673800779,879.0,log1p
1,2023-08-27,1.0,3.644220580566567,879.0,log1p
1,2023-09-10,3.0,4.970952608619366,879.0,log1p
1,2023-09-24,5.0,1.8581651494233766,879.0,log1p
1,2023-10-08,4.0,5.221993616330912,879.0,log1p
1,2023-10-22,7.0,1.4166045978538953,879.0,log1p
1,2023-11-05,0.0,5.54565460431017,879.0,log1p
1,2023-11-19,3.0,0.3446177283536591,879.0,log1p
1,2023-12-03,3.0,6.626692641960535,879.0,log1p
1,2023-12-17,10.0,2.370092041635657,879.0,log1p
1,2023-12-31,11.0,5.723095463074083,879.0,log1p
1,2024-01-14,30.0,14.529522195489529,879.0,log1p
1,2024-01-28,80.0,40.88937104656415,879.0,log1p
1,2024-02-11,249.0,151.35184119009074,879.0,log1p
1,2024-02-25,1311.0,678.0581656699661,879.0,log1p
1,2024-03-10,995.0,737.4203537289051,1311.0,log1p
1,2024-03-24,1601.0,856.20749097315,1311.0,log1p
1,2024-04-07,1783.0,1291.7915161935107,1849.0,log1p
1,2024-04-21,1347.0,1701.580149619703,1855.0,log1p
1,2024-05-05,1510.0,1010.8810436584173,1855.0,log1p
1,2024-05-19,520.0,669.9102557801264,1855.0,log1p
1,2024-06-02,263.0,162.88969626751063,1855.0,log1p
1,2024-06-16,194.0,226.2779245848156,1855.0,log1p
1,2024-06-30,22.0,37.79604100763329,1855.0,log1p
1,2024-07-14,13.0,8.115506534561817,1855.0,log1p
1,2024-07-28,13.0,15.243173346605039,1855.0,log1p
1,2024-08-11,13.0,8.574834464852279,1855.0,log1p
1,2024-08-25,9.0,13.699737463037652,1855.0,log1p
1,2024-09-08,10.0,4.779715773287261,1855.0,log1p
1,2024-09-22,3.0,6.257647914752327,1855.0,log1p
1,2024-10-06,2.0,6.817092370271785,1855.0,log1p
1,2024-10-20,3.0,1.357553043088521,1855.0,log1p
1,2024-11-03,2.0,2.0420009444723775,1855.0,log1p
1,2024-11-17,7.0,1.5346337702189117,1855.0,log1p
1,2024-12-01,5.0,2.3755804670028975,1855.0,log1p
1,2024-12-15,1.0,1.3493096176423234,1855.0,log1p
1,2024-12-29,26.0,28.861184264295638,1855.0,log1p
1,2025-01-12,37.0,51.73456011753902,1855.0,log1p
1,2025-01-26,75.0,58.916303733787025,1855.0,log1p
1,2025-02-09,245.0,244.97562373028933,1855.0,log1p
1,2025-02-23,494.0,418.46410238241714,1855.0,log1p
1,2025-03-09,1199.0,836.0279959346614,1855.0,log1p
1,2025-03-23,2381.0,1427.3922752586082,1855.0,log1p
1,2025-04-06,2247.0,1963.123511757459,2381.0,log1p
1,2025-04-20,2212.0,1773.8599383411647,2381.0,log1p
1,2025-05-04,1944.0,1644.3996595870424,2381.0,log1p
1,2025-05-18,883.0,1529.7486984458678,2381.0,log1p
1,2025-06-01,257.0,357.88395653087963,2381.0,log1p
1,2025-06-15,50.0,101.14714307936573,2381.0,log1p
1,2025-06-29,13.0,16.394587671584347,2381.0,log1p
1,2025-07-13,9.0,8.614909247164798,2381.0,log1p
1,2025-07-27,4.0,1.0407872362705028,2381.0,log1p
1,2025-08-10,9.0,4.801196187472619,2381.0,log1p
1,2025-08-24,8.0,3.5460500865887914,2381.0,log1p
1,2025-09-07,3.0,1.0832006463170134,2381.0,log1p
1,2025-09-21,6.0,6.575092964137174,2381.0,log1p
1,2025-10-05,5.0,3.261522233345995,2381.0,log1p
1,2025-10-19,8.0,2.5869928172168657,2381.0,log1p
1,2025-11-02,0.0,2.6492274601399757,2381.0,log1p
