h,data,real,pred,naive
2,2021-05-16,1.0,2.944040416150702,5.0
2,2021-05-23,1.0,0.10138276030258236,0.0
2,2021-05-30,0.0,1.5522817663738306,1.0
2,2021-06-06,0.0,-2.0498916159076157,1.0
2,2021-06-13,0.0,0.6521917847714817,0.0
2,2021-06-20,1.0,0.08629475644757295,0.0
2,2021-06-27,0.0,0.697266546356387,0.0
2,2021-07-04,1.0,0.6326678532677015,1.0
2,2021-07-11,0.0,1.19674346804438,0.0
2,2021-07-18,0.0,-0.18154077599841129,1.0
2,2021-07-25,0.0,-0.047615114609918165,0.0
2,2021-08-01,0.0,0.5827554902564666,0.0
2,2021-08-08,0.0,0.33304272638135285,0.0
2,2021-08-15,0.0,0.04143942080464132,0.0
2,2021-08-22,0.0,0.3069815786644286,0.0
2,2021-08-29,0.0,-0.08033938708291127,0.0
2,2021-09-05,0.0,0.12687534389431177,0.0
2,2021-09-12,0.0,0.3228309240867236,0.0
2,2021-09-19,0.0,0.0809291016982428,0.0
2,2021-09-26,0.0,0.032515499949782076,0.0
2,2021-10-03,0.0,-0.17193474023410749,0.0
2,2021-10-10,0.0,-0.10722475502906381,0.0
2,2021-10-17,0.0,0.07838276651054446,0.0
2,2021-10-24,0.0,-0.16219511739062153,0.0
2,2021-10-31,0.0,-0.07411067544126969,0.0
2,2021-11-07,0.0,0.05030593499747545,0.0
2,2021-11-14,0.0,-0.0774516021572307,0.0
2,2021-11-21,1.0,-0.11898217111469744,0.0
2,2021-11-28,0.0,0.21345903186451332,0.0
2,2021-12-05,0.0,0.8733225898582712,1.0
2,2021-12-12,0.0,0.7201393091813408,0.0
2,2021-12-19,1.0,1.2659782317677402,0.0
2,2021-12-26,0.0,0.4311382079385785,0.0
2,2022-01-02,2.0,0.3494566970652714,1.0
2,2022-01-09,0.0,1.2402382367809603,0.0
2,2022-01-16,1.0,1.86171379297212,2.0
2,2022-01-23,2.0,1.1397644547367198,0.0
2,2022-01-30,9.0,1.5583384146877923,1.0
2,2022-02-06,20.0,5.217973666261103,2.0
2,2022-02-13,51.0,11.497347791277807,9.0
2,2022-02-20,203.0,50.28105390554354,20.0
2,2022-02-27,269.0,96.7569435380416,51.0
2,2022-03-06,463.0,109.60520056217295,203.0
2,2022-03-13,482.0,223.43708226955923,269.0
2,2022-03-20,524.0,277.00829484944967,463.0
2,2022-03-27,753.0,393.75444034827603,482.0
2,2022-04-03,879.0,591.0930917426776,524.0
2,2022-04-10,569.0,758.2258806284801,753.0
2,2022-04-17,344.0,605.8890521294243,879.0
2,2022-04-24,223.0,448.79456869646896,569.0
2,2022-05-01,313.0,414.0465917389106,344.0
2,2022-05-08,122.0,350.7726648409999,223.0
2,2022-05-15,92.0,293.03329183621827,313.0
2,2022-05-22,61.0,69.7054137517662,122.0
2,2022-05-29,17.0,17.543240210739775,92.0
2,2022-06-05,26.0,39.71371549181077,61.0
2,2022-06-12,19.0,14.525947612702021,17.0
2,2022-06-19,14.0,34.70429597380891,26.0
2,2022-06-26,24.0,20.056880877494713,19.0
2,2022-07-03,13.0,25.878574123586514,14.0
2,2022-07-10,11.0,16.657504485963894,24.0
2,2022-07-17,11.0,12.14935594968477,13.0
2,2022-07-24,3.0,7.589553123515116,11.0
2,2022-07-31,3.0,12.221736913066126,11.0
2,2022-08-07,3.0,0.28583650966269897,3.0
2,2022-08-14,1.0,0.4703984653302384,3.0
2,2022-08-21,2.0,0.5161560916138809,3.0
2,2022-08-28,0.0,0.7938079703707237,1.0
2,2022-09-04,3.0,0.3102228211772578,2.0
2,2022-09-11,0.0,1.2530214746619133,0.0
2,2022-09-18,1.0,0.7022567923092858,3.0
2,2022-09-25,0.0,0.6124023239392852,0.0
2,2022-10-02,1.0,0.22087820246385614,1.0
2,2022-10-09,0.0,0.09988927353215299,0.0
2,2022-10-16,0.0,0.488466180371322,1.0
2,2022-10-23,6.0,-0.04151557320712616,0.0
